time,q,raw_price,bid,ask,volume,open_interest,mark_type,stale
2025-01-06T19:00:00Z,0.015,0.015,,,,,trade,false
2025-01-06T20:00:00Z,0.051,0.051,,,,,trade,false
2025-01-06T21:00:00Z,0.04,0.04,,,,,trade,false
2025-01-06T22:00:00Z,0.0405,0.0405,,,,,trade,false
2025-01-06T23:00:00Z,0.034,0.034,,,,,trade,false
2025-01-07T00:00:00Z,0.0305,0.0305,,,,,trade,false
2025-01-07T01:00:00Z,0.0325,0.0325,,,,,trade,false
2025-01-07T02:00:00Z,0.0325,0.0325,,,,,trade,false
2025-01-07T03:00:00Z,0.035,0.035,,,,,trade,false
2025-01-07T04:00:00Z,0.035,0.035,,,,,trade,false
2025-01-07T05:00:00Z,0.0465,0.0465,,,,,trade,false
2025-01-07T06:00:00Z,0.0475,0.0475,,,,,trade,false
2025-01-07T07:00:00Z,0.0435,0.0435,,,,,trade,false
2025-01-07T08:00:00Z,0.0405,0.0405,,,,,trade,false
2025-01-07T09:00:00Z,0.0375,0.0375,,,,,trade,false
2025-01-07T10:00:00Z,0.0375,0.0375,,,,,trade,false
2025-01-07T11:00:00Z,0.0395,0.0395,,,,,trade,false
2025-01-07T12:00:00Z,0.039,0.039,,,,,trade,false
2025-01-07T13:00:00Z,0.04,0.04,,,,,trade,false
2025-01-07T14:00:00Z,0.0405,0.0405,,,,,trade,false
2025-01-07T15:00:00Z,0.036,0.036,,,,,trade,false
2025-01-07T16:00:00Z,0.0365,0.0365,,,,,trade,false
2025-01-07T17:00:00Z,0.038,0.038,,,,,trade,false
2025-01-07T18:00:00Z,0.045,0.045,,,,,trade,false
2025-01-07T19:00:00Z,0.053,0.053,,,,,trade,false
2025-01-07T20:00:00Z,0.053,0.053,,,,,trade,false
2025-01-07T21:00:00Z,0.0535,0.0535,,,,,trade,false
2025-01-07T22:00:00Z,0.053,0.053,,,,,trade,false
2025-01-07T23:00:00Z,0.051,0.051,,,,,trade,false
2025-01-08T00:00:00Z,0.0505,0.0505,,,,,trade,false
2025-01-08T01:00:00Z,0.0545,0.0545,,,,,trade,false
2025-01-08T02:00:00Z,0.0555,0.0555,,,,,trade,false
2025-01-08T03:00:00Z,0.055,0.055,,,,,trade,false
2025-01-08T04:00:00Z,0.055,0.055,,,,,trade,false
2025-01-08T05:00:00Z,0.052,0.052,,,,,trade,false
2025-01-08T06:00:00Z,0.0505,0.0505,,,,,trade,false
2025-01-08T07:00:00Z,0.0555,0.0555,,,,,trade,false
2025-01-08T08:00:00Z,0.054,0.054,,,,,trade,false
2025-01-08T09:00:00Z,0.0495,0.0495,,,,,trade,false
2025-01-08T10:00:00Z,0.0495,0.0495,,,,,trade,false
2025-01-08T11:00:00Z,0.0495,0.0495,,,,,trade,false
2025-01-08T12:00:00Z,0.051,0.051,,,,,trade,false
2025-01-08T13:00:00Z,0.052,0.052,,,,,trade,false
2025-01-08T14:00:00Z,0.0525,0.0525,,,,,trade,false
